GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),MarbelsPerPlayer(Player1Remaining Marbles),MarbelsPerPlayer(Player0Remaining Marbles),RuleCardsUsed(Rule-Setup),RuleCardsUsed(Rule-Movement),RuleCardsUsed(Rule-Push),RuleCardsUsed(Rule-PushOut),RuleCardsUsed(Rule-PushRequirement),RuleCardsUsed(Rule-Victory),PlayerType(PlayerType-1),PlayerType(PlayerType-0),MarbelsRemoved(Player0removed marbles),MarbelsRemoved(Player1removed marbles),WhoPushedOut(Player0Pushed Marbles),WhoPushedOut(Player1Pushed Marbles),Winner(PlayerIdx)
-1983175536,MultiverseMarbles,0,GAME_OVER,200,200,2,2047,MCTS-OwnColor,-3.0,-3.0,MCTS,1,MCTS-OwnColor,1,1,1,MCTS,9,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_REPLACE,UNEVEN,PUSH_OUT,MCTS,MCTS-OwnColor,[],[1],[],[1],-1
45791153,MultiverseMarbles,0,GAME_OVER,97,96,2,2048,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,8,10,TWO_SIDES,MOVE_1,PUSH_1,OUT_IS_GONE,MORE_OR_EQUAL,YOUR_COLOR,MCTS,MCTS-OwnColor,[],"[0, 0]",[],"[0, 0]",0
986675200,MultiverseMarbles,0,GAME_OVER,109,108,2,2049,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,6,10,TWO_SIDES,MOVE_1,PUSH_1,CENTER_IF_FREE,EVEN,YOUR_COLOR,MCTS,MCTS-OwnColor,[],"[1, 1, 1, 1]","[0, 0]","[1, 1, 1, 1, 1, 1]",0
1631742855,MultiverseMarbles,0,GAME_OVER,23,22,2,2050,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,10,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_REPLACE,UNEVEN,ANY_THREE,MCTS,MCTS-OwnColor,[],[],[0],[],0
170981071,MultiverseMarbles,0,GAME_OVER,32,31,2,2051,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,10,10,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_REPLACE,FEWER_OR_MORE,ONE_OF_EACH,MCTS,MCTS-OwnColor,[],[],[],[1],1
-1707746364,MultiverseMarbles,0,GAME_OVER,140,139,2,2052,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,1,9,TWO_SIDES,MOVE_1,PUSH_1,OUT_IS_GONE,MORE,PUSH_OUT,MCTS,MCTS-OwnColor,[1],"[1, 1, 1, 1, 1, 1, 1, 1, 1]",[1],"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0
1586613074,MultiverseMarbles,0,GAME_OVER,200,200,2,2053,MCTS-OwnColor,-3.0,-3.0,MCTS,1,MCTS-OwnColor,1,1,1,MCTS,9,10,TWO_SIDES,LEAPFROG,PUSH_1,OUT_IS_GONE,FEWER_OR_EQUAL,PUSH_OUT,MCTS,MCTS-OwnColor,[],[0],[],[0],-1
-575488806,MultiverseMarbles,0,GAME_OVER,22,21,2,2054,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,9,10,TWO_SIDES,MOVE_1,PUSH_1,CENTER_REPLACE,MORE,ONE_OF_EACH,MCTS,MCTS-OwnColor,[1],[],"[1, 1]",[1],1
465540224,MultiverseMarbles,0,GAME_OVER,119,118,2,2055,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,7,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,OUT_IS_GONE,UNEVEN,PUSH_OUT,MCTS,MCTS-OwnColor,[],"[0, 0, 0]",[],"[0, 0, 0]",0
-889934898,MultiverseMarbles,0,GAME_OVER,71,70,2,2056,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,10,TWO_SIDES,LEAPFROG,PUSH_1,OUT_IS_GONE,UNEVEN,YOUR_COLOR,MCTS,MCTS-OwnColor,[],[1],[],[1],0
