rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
movement_pushrequirement,"Jump over 1 marble or blocker or move a marble by 1 space in any direction_You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.","movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction + pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.5833333333333334,12.0,7.0,0.08333333333333337
movement_pushrequirement,Move 1 marble exactly 2 spaces in any direction._You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,movement: Move 1 marble exactly 2 spaces in any direction. + pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,0.5833333333333334,36.0,21.0,0.08333333333333337
pushout_pushrequirement,"Pushed out marbles return to the center, if it is free. Else they are removed._You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.",0.5833333333333334,24.0,14.0,0.08333333333333337
pushrequirement_victory,You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent._Occupy all goals of your color.,pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent. + victory: Occupy all goals of your color.,0.4166666666666667,24.0,10.0,0.08333333333333331
pushrequirement_victory,You can push opposing marbles if you use more marbles._Push out 3 opposing marbles.,pushrequirement: You can push opposing marbles if you use more marbles. + victory: Push out 3 opposing marbles.,0.4166666666666667,24.0,10.0,0.08333333333333331
movement_pushrequirement,Jump over 1 marble or blocker or move a marble by 1 space in any direction_You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction + pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,0.4166666666666667,36.0,15.0,0.08333333333333331
pushrequirement_victory,"You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent._Push out 3 opposing marbles.","pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent. + victory: Push out 3 opposing marbles.",0.4166666666666667,24.0,10.0,0.08333333333333331
pushrequirement_victory,You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent._Occupy 3 non-neighbouring goals.,pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent. + victory: Occupy 3 non-neighbouring goals.,0.4166666666666667,24.0,10.0,0.08333333333333331
pushout_victory,Pushed out marbles return to the center. Remove any pre-existing marble._Occupy all goals of your color.,pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + victory: Occupy all goals of your color.,0.5757575757575758,66.0,38.0,0.0757575757575758
movement_victory,Move 1 marble by 1 space in any direction._Push out 3 opposing marbles.,movement: Move 1 marble by 1 space in any direction. + victory: Push out 3 opposing marbles.,0.4259259259259259,54.0,23.0,0.07407407407407413
